Variable Name,Description
TOTAL_DEAD_BA,TOTAL_ DEAD_BA = Dead total basal area (m2 ha-1)
ABGR_SEED_LIVE,ABGR_SEED_LIVE = Live grand fir seedling density (seedlings ha-1)
ABGR_SEED_DEAD,ABGR_SEED_DEAD = Dead grand fir seedling density (seedlings ha-1)
ABGR_SAP_LIVE,ABGR_SAP_LIVE = Live grand fir sapling density (saplings ha-1)
ABGR_SAP_DEAD,ABGR_SAP_DEAD = Dead grand fir sapling density (saplings ha-1)
ABLA_SEED_LIVE,ABLA_SEED_LIVE = Live subalpine fir seedling density (seedlings ha-1)
ABLA_SEED_DEAD,ABLA_SEED_DEAD = Dead subalpine fir seedling density (seedlings ha-1)
ABLA_SAP_LIVE,ABLA_SAP_LIVE = Live subalpine fir sapling density (saplings ha-1)
ABLA_SAP_DEAD,ABLA_SAP_DEAD = Dead subalpine fir sapling density (saplings ha-1)
BEPA_SEED_LIVE,BEPA_SEED_LIVE = Live paper birch seedling density (seedlings ha-1)
BEPA_SEED_DEAD,BEPA_SEED_DEAD = Dead paper birch seedling density (seedlings ha-1)
BEPA_SAP_LIVE,BEPA_SAP_LIVE = Live paper birch sapling density (saplings ha-1)
BEPA_SAP_DEAD,BEPA_SAP_DEAD = Dead paper birch sapling density (saplings ha-1)
LAOC_SEED_LIVE,LAOC_SEED_LIVE = Live western larch seedling density (seedlings ha-1)
LAOC_SEED_DEAD,LAOC_SEED_DEAD = Dead western larch seedling density (seedlings ha-1)
LAOC_SAP_LIVE,LAOC_SAP_LIVE = Live western larch sapling density (saplings ha-1)
LAOC_SAP_DEAD,LAOC_SAP_DEAD = Dead western larch sapling density (saplings ha-1)
PICO_SEED_LIVE,PICO_SEED_LIVE = Live lodgepole pine seedling density (seedlings ha-1)
PICO_SEED_DEAD,PICO_SEED_DEAD = Dead lodgepole pine seedling density (seedlings ha-1)
PICO_SAP_LIVE,PICO_SAP_LIVE = Live lodgepole pine sapling density (saplings ha-1)
PICO_SAP_DEAD,PICO_SAP_DEAD = Dead lodgepole pine sapling density (saplings ha-1)
PIEN_SEED_LIVE,PIEN_SEED_LIVE = Live Engelmann spruce seedling density (seedlings ha-1)
PIEN_SEED_DEAD,PIEN_SEED_DEAD = Dead Engelmann spruce seedling density (seedlings ha-1)
PIEN_SAP_LIVE,PIEN_SAP_LIVE = Live Engelmann spruce sapling density (saplings ha-1)
PIEN_SAP_DEAD,PIEN_SAP_DEAD = Dead Engelmann spruce sapling density (saplings ha-1)
PIGL_SEED_LIVE,PIGL_SEED_LIVE = Live white spruce seedling density (seedlings ha-1)
PIGL_SEED_DEAD,PIGL_SEED_DEAD = Dead white spruce seedling density (seedlings ha-1)
PIGL_SAP_LIVE,PIGL_SAP_LIVE = Live white spruce sapling density (saplings ha-1)
PIGL_SAP_DEAD,PIGL_SAP_DEAD = Dead white spruce sapling density (saplings ha-1)
PIMA_SEED_LIVE,PIMA_SEED_LIVE = Live black spruce seedling density (seedlings ha-1)
PIMA_SEED_DEAD,PIMA_SEED_DEAD = Dead black spruce seedling density (seedlings ha-1)
PIMA_SAP_LIVE,PIMA_SAP_LIVE = Live black spruce sapling density (saplings ha-1)
PIMA_SAP_DEAD,PIMA_SAP_DEAD = Dead black spruce sapling density (saplings ha-1)
PIPO_SEED_LIVE,PIPO_SEED_LIVE = Live ponderosa pine seedling density (seedlings ha-1)
PIPO_SEED_DEAD,PIPO_SEED_DEAD = Dead ponderosa pine seedling density (seedlings ha-1)
PIPO_SAP_LIVE,PIPO_SAP_LIVE = Live ponderosa pine sapling density (saplings ha-1)
PIPO_SAP_DEAD,PIPO_SAP_DEAD = Dead ponderosa pine sapling density (saplings ha-1)
POTR_SEED_LIVE,POTR_SEED_LIVE = Live aspen seedling density (seedlings ha-1)
POTR_SEED_DEAD,POTR_SEED_DEAD = Dead aspen seedling density (seedlings ha-1)
POTR_SAP_LIVE,POTR_SAP_LIVE = Live aspen sapling density (saplings ha-1)
POTR_SAP_DEAD,POTR_SAP_DEAD = Dead aspen sapling density (saplings ha-1)
PSME_SEED_LIVE,PSME_SEED_LIVE = Live Douglas-fir seedling density (seedlings ha-1)
PSME_SEED_DEAD,PSME_SEED_DEAD = Dead Douglas-fir seedling density (seedlings ha-1)
PSME_SAP_LIVE,PSME_SAP_LIVE = Live Douglas-fir sapling density (saplings ha-1)
PSME_SAP_DEAD,PSME_SAP_DEAD = Dead Douglas-fir sapling density (saplings ha-1)
